Target,model,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,F1_mean,Recall_mean,Precision_mean,Accuracy_mean
Severe financing obstacle,Core logistic,0.5487128577297,0.0,0.2425977014786621,0.0088495575221238,0.0045871559633027,0.125,0.7808219178082192
Severe financing obstacle,Rich logistic,0.5507981879592861,0.0,0.2435831334350869,0.0088495575221238,0.0045871559633027,0.125,0.7808219178082192
Severe financing obstacle,Rich logistic + recency,0.5515398922817107,0.0,0.2457847111523481,0.0,0.0,0.0,0.7837573385518591
Formal credit access,Core logistic,0.6705222805734672,0.0,0.1619353529878015,0.1865284974093264,0.1836734693877551,0.1894736842105263,0.8459273797841022
Formal credit access,Rich logistic,0.6700846462363447,0.0,0.1601744004176173,0.1808510638297872,0.173469387755102,0.1888888888888888,0.8488714425907753
Formal credit access,Rich logistic + recency,0.672112167342507,0.0,0.1602137949064754,0.1928934010152284,0.1938775510204081,0.1919191919191919,0.8439646712463199
Credit application,Core logistic,0.7049575380246307,0.0,0.1768601520643418,0.2375478927203065,0.3974358974358974,0.1693989071038251,0.8043264503441495
Credit application,Rich logistic,0.7049438846563447,0.0,0.1767889271085603,0.2366412213740458,0.3974358974358974,0.1684782608695652,0.8033431661750245
Credit application,Rich logistic + recency,0.7050258048660605,0.0,0.1773967780739131,0.224,0.358974358974359,0.1627906976744186,0.8092428711897739
